RAW_WORD,NORMALIZED_WORD,MEANING_INDONESIAN,WORD_TYPE,IS_KRAMA
anak mas,ANAK MAS,anak kesayangan,Kata Benda,
nganakké,NGANAKKE,riba,Kata Benda,
anakan,ANAKAN,anakan; bunga (uang),Kata Benda,
ancang-ancang,ANCANG-ANCANG,"persiapan, mengambil kuda-kuda",Kata Benda,
ancas,ANCAS,tujuan,Kata Benda,
ancer-ancer,ANCER-ANCER,prakiraan; ancar-ancar,Kata Benda,
ancik,ANCIK,menginjak,Kata Kerja,
ancur,ANCUR,air raksa,Kata Benda,
anda,ANDA,tangga,Kata Benda,
andaka,ANDAKA,banteng,Kata Benda,
andha,ANDHA,tangga,Kata Benda,
andhang,ANDHANG,"tangga kayu berkaki empat, perancah",Kata Benda,
andhang,ANDHANG,para-para (anyaman bambu dsb tempat menaruh perkakas dapur; pagu; 2 rak untuk menjemur ikan; 3 rak atau jala untuk menaruh barang-barang (di kereta api); ),Kata Benda,
andhap,ANDHAP,"bagian bawah, rendah",Kata Benda,Krama
andheng-andheng,ANDHENG-ANDHENG,tahi lalat,Kata Benda,
andhok,ANDHOK,makan di warung,Kata Kerja,
andhong,ANDHONG,"sejenis kereta kuda, delman, andong",Kata Benda,
andika,ANDIKA,anda,Kata Benda,
andum,ANDUM,berbagi,Kata Kerja,
angen-angen,ANGEN-ANGEN,"pemikiran, ingatan, cita-cita",Kata Benda,
anget,ANGET,hangat,Kata Sifat,
angga,ANGGA,tubuh,Kata Benda,
anggak,ANGGAK,sombong,Kata Sifat,
anggara,ANGGARA,selasa,Kata Benda,
anggarbini,ANGGARBINI,hamil,Kata Kerja,
anggarbini,ANGGARBINI,"hamil, bunting",Kata Sifat,
anggas,ANGGAS,rontok (pada daun),Kata Sifat,
anggep,ANGGEP,anggap,Kata Kerja,
nganggep,NGANGGEP,menganggap,Kata Kerja,
angger-angger,ANGGER-ANGGER,peraturan,Kata Benda,
angger,ANGGER,"asal, asalkan",Kata Keadaan,
anggit,ANGGIT,"reka, dirasakan, dikira, anggap",Kata Kerja,
anggon,ANGGON,tempat,Kata Kerja,
manggon,MANGGON,bertempat tinggal,Kata Kerja,
anggèr,ANGGER,ananda,Kata Benda,
angin-angin,ANGIN-ANGIN,udara segar,Kata Benda,
angkah,ANGKAH,maksud,Kata Benda,
angler,ANGLER,nyenyak,Kata Keadaan,
angluh,ANGLUH,dengan penuh rasa tidak berdaya mengahadapi situasi yang ada,Kata Keadaan,
angon,ANGON,mengembala,Kata Kerja,
angop,ANGOP,menguap,Kata Kerja,
angsal,ANGSAL,"boleh, dapat, mendapatkan",Kata Kerja,Krama
angslup,ANGSLUP,tenggelam,Kata Kerja,
angslé,ANGSLE,nama minuman,Kata Benda,
angsul,ANGSUL,kembali,Kata Kerja,Krama
angsul-angsul,ANGSUL-ANGSUL,pengembalian,Kata Kerja,Krama
angur,ANGUR,masih lebih baik,Kata Sifat,
angèl,ANGEL,"sukar, sulit, tidak mudah",Kata Sifat,
kangèlan,KANGELAN,kesulitan,Kata Benda,
anjlog,ANJLOG,turun dari ketinggian tertentu dengan kecepatan tinggi,Kata Kerja,
anjlok,ANJLOK,turun tiba-tiba,Kata Kerja,
anjok,ANJOK,tiba di,Kata Depan,
anom,ANOM,muda,Kata Sifat,
anta,ANTA,tawar,Kata Kerja,
antawacana,ANTAWACANA,"Penggambaran sinopsis cerita, adegan, tokoh pagelaran wayang yang disampaikan oleh dalang dengan cara dilagukan",Kata Benda,
antawis,ANTAWIS,kira-kira,,Krama
antem,ANTEM,pukul/hantam,Kata Kerja,
anteng,ANTENG,tenang,Kata Sifat,
antep,ANTEP,berat,Kata Sifat,
anthuk,ANTHUK,angguk,Kata Kerja,
anting,ANTING,giwang,,
antop,ANTOP,bersendawa,Kata Kerja,
antu,ANTU,tunggu,Kata Kerja,
antuk,ANTUK,"dapat, mendapatkan, memperoleh; [[pikantuk",Kata Kerja,
anut,ANUT,ikut; [[anut-grubyuk,,
anyang-anyangen,ANYANG-ANYANGEN,merasa seperti ingin kencing,Kata Sifat,
anyang,ANYANG,tawar (harga,Kata Kerja,
anyar,ANYAR,baru; [[nganyari,Kata Sifat,
anyel,ANYEL,jengkel,Kata Sifat,
anyep,ANYEP,dingin (tubuh atau bagian tubuh,Kata Sifat,
anyep,ANYEP,"tawar, rasa hambar karena kurang garam",Kata Sifat,
anyes,ANYES,dingin (benda,Kata Sifat,
anyir,ANYIR,amis,Kata Sifat,
anèh,ANEH,aneh,Kata Sifat,
anèm,ANEM,muda,Kata Sifat,
apal,APAL,hafal,Kata Sifat,
apek,APEK,bau tidak sedap yang berasal dari barang usang atau kamar yang lama tertutup,Kata Sifat,
apem,APEM,apam,Kata Benda,
apes,APES,sial,Kata Kerja,
api-api,API-API,pura-pura,Kata Kerja,
apik,APIK,"baik, bagus",Kata Sifat,
apu,APU,kapur sirih;,Kata Benda,
apura,APURA,maaf,Kata Benda,
apus,APUS,sejenis bambu,Kata Benda,
apus,APUS,"bohong, tipu; [[kapusan, Menipu",Kata Kerja,
ara-ara,ARA-ARA,padang,Kata Benda,
aran,ARAN,nama,Kata Benda,
arang-arang,ARANG-ARANG,jarang,Kata Sifat,
arang,ARANG,jarang,Kata Keadaan,
aras,ARAS,"cium, bagian paling dalam dari batang pohon pisang",,
aren,AREN,enau,Kata Benda,
areng,ARENG,arang,Kata Benda,
arep,AREP,hendak,Kata Sambung,
arep,AREP,hendak/mau; [[ngarepaké; sangat berharap,,
arga,ARGA,gunung,Kata Benda,
ari-ari,ARI-ARI,tali pusat,Kata Benda,
ari,ARI,adik,Kata Benda,
arip,ARIP,mengantuk; [[karipan,,Krama
aris,ARIS,lugas,Kata Keadaan,
arit,ARIT,sabit,Kata Benda,
arsa,ARSA,akan; depan,Kata Keadaan,
arsa,ARSA,"mau, akan, niat, bermaksud; [[pangarsa",,
arta,ARTA,uang,Kata Benda,
aruh-aruh,ARUH-ARUH,menyapa,Kata Kerja,
arum,ARUM,wangi sedap,,
arus,ARUS,anyir,Kata Sifat,
asat,ASAT,"kering, habis airnya (untuk sungai, danau, dsb.",Kata Sifat,
asih,ASIH,"kasih, sayang",Kata Benda,
asma,ASMA,nama,Kata Benda,Krama
asmarandana,ASMARANDANA,nama metrum macapat,Kata Benda,
asor,ASOR,kalah,Kata Keadaan,
asor,ASOR,nista,Kata Sifat,
asrep,ASREP,dingin,Kata Sifat,
asri,ASRI,"indah, menyenangkan untuk dipandang",Kata Sifat,
asta,ASTA,tangan,Kata Benda,Krama
asta,ASTA,bawa; [[ngasta,Kata Kerja,
asu,ASU,anjing,Kata Benda,
asuh,ASUH,rawat,Kata Kerja,
asung,ASUNG,menghaturkan,Kata Kerja,
ati-ati,ATI-ATI,hati-hati,Kata Keadaan,
ati,ATI,hati; [[ngati-ati,Kata Benda,
atis,ATIS,"dingin (untuk hawa, udara",Kata Sifat,
atos,ATOS,keras,Kata Sifat,
atur,ATUR,memberi ''[eg. [[atur pambagya,,Krama
aturi,ATURI,beri; persilakan,Kata Kerja,
atus,ATUS,tidak lagi mengandung air,Kata Sifat,
atut,ATUT,"akrab, jinak",,
awak,AWAK,"badan, tubuh",Kata Benda,
awan,AWAN,siang,Kata Benda,
awang-awang,AWANG-AWANG,langit bebas,Kata Benda,
awang,AWANG,berhitung tanpa alat bantu,Kata Kerja,
awas,AWAS,tajam (pengelihatan,Kata Sifat,
awis-awis,AWIS-AWIS,jarang,Kata Sifat,
awis,AWIS,mahal,Kata Keadaan,
awit,AWIT,"mulai, karena",Kata Sambung,
awoh,AWOH,berbuah,Kata Kerja,
awon awon,AWON AWON,jelek/buruk,Kata Sifat,
awor,AWOR,bercampur dengan,Kata Keterangan,
awrat,AWRAT,berat,Kata Kerja,
awu,AWU,abu; [[awu-awu,Kata Benda,
awur,AWUR,sebar,Kata Kerja,
awur,AWUR,asal-asalan,Kata Keterangan,
awut,AWUT,membuat berantakan,Kata Kerja,
awèh,AWEH,beri,Kata Kerja,
awèt,AWET,"tidak cepat rusak, tahan lama, tidak kunjung habis",Kata Sifat,
ayahan,AYAHAN,kewajiban,Kata Benda,
ayem,AYEM,tentram (hati,Kata Sifat,
ayom,AYOM,perlindungan,Kata Kerja,
ayu,AYU,cantik,Kata Sifat,
aywa,AYWA,jangan,Kata Seru,
bab,BAB,"bab, hal, mengenai",Kata Benda,
babad,BABAD,cerita sejarah,Kata Benda,
babagan,BABAGAN,tentang,Kata Sambung,
babah,BABAH,biar,,
babak-bundhas,BABAK-BUNDHAS,babak-belur,Kata Sifat,
babal,BABAL,"putik buah nangka, buah nangka yang masih bayi",Kata Benda,
babar,BABAR,menjadi banyak,Kata Sifat,
babaran,BABARAN,"bersalin, melahirkan",Kata Kerja,
babat,BABAT,bagian dalam usus sapi,Kata Benda,
babat,BABAT,"tebang, tebas; [[mbabat suket",Kata Kerja,
babit,BABIT,mengayunkan benda dengan menahan ujungnya,Kata Kerja,
bablas,BABLAS,"terus, lewat",,
kebablasen,KEBABLASEN,"kelewatan, keterusan",Kata Sifat,
babon,BABON,"induk, induk ayam",Kata Benda,
babu,BABU,perempuan pembantu,Kata Benda,
babut,BABUT,permadani,Kata Benda,
bacem,BACEM,peram; dimasak dengan bumbu tertentu; makan yang diasamkan,Kata Kerja,
bacin,BACIN,"bau busuk, bau bangkai",Kata Sifat,
bacok,BACOK,senjata tajam (seperti parang dan celurit),,
bacokan,BACOKAN,berkelahi dengan senjata tajam,,
bacut,BACUT,"lanjut, masuk",Kata Kerja,
kebacut,KEBACUT,kebablasan,Kata Sifat,
badan,BADAN,diri,Kata Benda,
badhé,BADHE,akan,,Krama
badhèk,BADHEK,menebak,Kata Kerja,
badhèk-badhèkan,BADHEK-BADHEKAN,tebak-tebakan,Kata Benda,
badhèk,BADHEK,air tapai,Kata Benda,
badheg,BADHEG,bau busuk,Kata Sifat,
badhug,BADHUG,tembok rendah untuk meletakkan sesuatu,Kata Benda,
bagaskara,BAGASKARA,matahari,Kata Benda,
bagus,BAGUS,tampan,Kata Sifat,
bahu,BAHU,100 m²,Kata Benda,
bahu,BAHU,bahu; tenaga,Kata Benda,
bahureksa,BAHUREKSA,penguasa,Kata Benda,
bajang,BAJANG,kerdil,Kata Sifat,
bajigur,BAJIGUR,"sejenis minuman penghangat badan yang mengandung jahe, kacang, roti yang dirajang",,
bajing,BAJING,tupai,Kata Benda,
bajingan,BAJINGAN,"bajingan (penjahat), sopir gerobak",,
bajul,BAJUL,buaya,Kata Benda,
bakal,BAKAL,akan,,
bakal,BAKAL,bahan pakaian,Kata Benda,
bakda,BAKDA,setelah,Kata Keadaan,
bakul,BAKUL,"pedagang, penjual",Kata Benda,
bal,BAL,bola,Kata Benda,
bal-balan,BAL-BALAN,sepak bola,Kata Benda,
bal-balan,BAL-BALAN,"bermain sepak bola, bermain bola",Kata Kerja,
bala,BALA,"pihak, teman, pasukan",Kata Benda,
balak,BALAK,kesialan,Kata Benda,
balang,BALANG,lempar,Kata Kerja,
bali,BALI,"pulang, kembali",Kata Kerja,
balung,BALUNG,tulang,Kata Benda,
balèn,BALEN,rujuk,Kata Kerja,
balé,BALE,"ruang tamu, balai",Kata Benda,
bamban,BAMBAN,permulaan pekerjaan,,
banci,BANCI,nama salah satu alat tukang kayu,Kata Benda,
banda,BANDA,mengikat kedua tangan ke belakang,Kata Kerja,
bandan,BANDAN,tawanan,Kata Benda,
bebandan,BEBANDAN,tawanan,Kata Benda,
bandar,BANDAR,"agen besar, cukong; botoh, pengumpul taruhan dalam perjudian",Kata Benda,
bandar,BANDAR,pelabuhan,Kata Benda,
bandayuda,BANDAYUDA,berperang,Kata Kerja,
bandha,BANDHA,"harta, kekayaan",Kata Benda,
bandhang,BANDHANG,besar (banjir bandhang),,
bandhang,BANDHANG,"terbawa, ikut (merpati yang berhasil mengajak merpati lain untuk mengikuti)",,
bandhem,BANDHEM,palu besar,,
bandhil,BANDHIL,pelontar,,
bandhit,BANDHIT,pencoleng,,
bandhot,BANDHOT,kambing yang sudah tua,,
bandhul,BANDHUL,"bandul, pemberat",Kata Benda,
banger,BANGER,bau busuk (misalnya dari air keruh),Kata Sifat,
bangga,BANGGA,meronta,Kata Kerja,
bangir,BANGIR,mancung,Kata Sifat,
bangka,BANGKA,mati (kasar),Kata Kerja,
bangkèkan,BANGKEKAN,pinggang,Kata Benda,
bangkèlan,BANGKELAN,buntalan besar,Kata Benda,
bangké,BANGKE,bangkai,Kata Benda,
banjar,BANJAR,baris,,
banjur,BANJUR,"terus, kemudian",,
banon,BANON,batu bata,Kata Benda,
bantala,BANTALA,tanah,Kata Benda,
bantaran,BANTARAN,pinggir (tentang sungai),Kata Benda,
bantat,BANTAT,"keras (untuk kue misalnya apem, yang kurang bagus memasaknya)",Kata Sifat,
banyak,BANYAK,angsa,Kata Sifat,
banyu,BANYU,air,Kata Benda,
bapa,BAPA,"bapak, ayah",Kata Benda,
bapak,BAPAK,"bapak, ayah",Kata Benda,
bapang,BAPANG,"parit, genangan air",Kata Benda,
bar,BAR,selesai,Kata Keadaan,
barang,BARANG,pertunjukan kesenian berkeliling,Kata Benda,
barat,BARAT,angin,Kata Benda,
barep,BAREP,sulung,Kata Sifat,
baruna,BARUNA,dewa lautan,Kata Benda,
barung,BARUNG,besar; utama,Kata Sifat,
barès,BARES,terus terang,Kata Sifat,
baskara,BASKARA,matahari,Kata Benda,
baskom,BASKOM,"tempat air, wadah berbentuk mangkuk yang lebih kecil dari bak tetapi lebih besar dari mangkuk",,
batang,BATANG,tebak,Kata Kerja,
bathang,BATHANG,bangkai *[[mbathang,Kata Benda,
bathara,BATHARA,sebutan untuk dewa,Kata Sandang,
bathari,BATHARI,sebutan untuk dewi,Kata Sandang,
bathi,BATHI,"laba, keuntungan, margin",Kata Benda,
mbathi,MBATHI,memperoleh keuntungan (konotasi negatif),,
bathok,BATHOK,tempurung (kelapa),Kata Benda,
bathuk,BATHUK,"dahi, kening, jidat",Kata Benda,
batih,BATIH,keluarga,Kata Benda,
batur,BATUR,"teman, pembantu",,
baut,BAUT,"pintar, trampil; baut",Kata Sifat,
bawa,BAWA,pembukaan gending,Kata Benda,
bawang lanang,BAWANG LANANG,bawang berumbi tunggal,Kata Benda,
bawera,BAWERA,"luas, lapang",,
bawèl,BAWEL,nyinyir,Kata Sifat,
bawéra,BAWERA,subur (untuk lahan),Kata Sifat,
baya,BAYA,buaya,Kata Benda,
bayan,BAYAN,petugas keamanan desa,Kata Benda,
bayaran,BAYARAN,"bayaran, gaji, honor",Kata Kerja,
bayem,BAYEM,bayam,Kata Benda,
bayu,BAYU,angin,Kata Benda,
bayèn,BAYEN,melahirkan,Kata Kerja,
bebana,BEBANA,permintaan sebagai syarat,Kata Benda,
bebasan,BEBASAN,seperti; layaknya,,
bebaya,BEBAYA,bahaya,Kata Benda,
bebayu,BEBAYU,otot,Kata Benda,
bebed,BEBED,kain panjang yang dipakai pria,Kata Benda,
bebedhag,BEBEDHAG,berburu,Kata Kerja,
bebendhu,BEBENDHU,hukuman,Kata Benda,
bebet,BEBET,"jarik, kain (batik)",,
bebrayan,BEBRAYAN,berkeluarga,Kata Kerja,
bebucal,BEBUCAL,berhajat besar,Kata Kerja,
bebudhen,BEBUDHEN,kepribadian,Kata Benda,
bebungah,BEBUNGAH,hadiah,Kata Benda,
bebuwang,BEBUWANG,berhajat besar,Kata Kerja,
becik,BECIK,baik,Kata Sifat,
becus,BECUS,mampu,Kata Sifat,
bedaya,BEDAYA,tarian sakral yang menjadi ciri khas keraton,Kata Benda,
bedhal,BEDHAL,"berontak, melawan",Kata Kerja,
bedhat,BEDHAT,rusak karena akitannya tidak kuat,,
bedhidhing,BEDHIDHING,udara dingin di musim kemarau; sensasi merinding ketika berada di ketinggian,Kata Benda,
bedhigasan,BEDHIGASAN,tingkahnya tidak karuan; tidak bisa diam,Kata Sifat,
bedhil,BEDHIL,senapan; [[mbedhil,,
begawan,BEGAWAN,pendeta,Kata Benda,
begundhal,BEGUNDHAL,kaki-tangan,Kata Benda,
beja,BEJA,beruntung,Kata Sifat,
bejat,BEJAT,rusak,Kata Sifat,
bekasakan,BEKASAKAN,hantu hutan,Kata Benda,
beksa,BEKSA,tari,Kata Benda,
beksan,BEKSAN,tarian,Kata Benda,
bekti,BEKTI,bakti,Kata Benda,
belik,BELIK,sumber air,Kata Benda,
beling,BELING,kaca,Kata Benda,
belèk,BELEK,iris sepanjang garis tengah,Kata Kerja,
bena,BENA,banjir,Kata Benda,
bendara,BENDARA,majikan,Kata Benda,
bendha,BENDHA,nama pohon,Kata Benda,
bendhel,BENDHEL,ikatan,Kata Benda,
bendho,BENDHO,alat pemotong (sejenis celurit),Kata Benda,
bendhol,BENDHOL,bengkak,Kata Benda,
bendhé,BENDHE,gong kecil,Kata Benda,
bener,BENER,benar,Kata Sifat,
bebener,BEBENER,kebenaran,,
kebeneran,KEBENERAN,kebetulan,,
bengawan,BENGAWAN,"sungai, sungai besar",Kata Benda,
bengep,BENGEP,"sembab, lebam di wajah",Kata Sifat,
bengi,BENGI,malam,Kata Benda,
bengkah,BENGKAH,retak,,
bengkak,BENGKAK,"ikatan, seikat",,
bengkok,BENGKOK,tanah yang hak garapnya diberikan kepada lurah sebagai bagian dari fasilitas jabatan,Kata Benda,
bengkong,BENGKONG,bengkok,,
bengèk,BENGEK,asma,,
benik,BENIK,kancing baju,Kata Benda,
bening,BENING,"jernih, transparan",Kata Sifat,
benjut,BENJUT,"memar, menjadi empuk karena tekanan/hantaman",Kata Sifat,
benthik,BENTHIK,"bentur, bertengkar, berselisih",,
benthèt,BENTHET,retak,,
bentur,BENTUR,tumbur,,
bentus,BENTUS,"tumbur, terantuk",,
berak,BERAK,genbira,,
berèt,BERET,tergores,Kata Sifat,
besar,BESAR,"nama bulan dalam kalender jawa, Zulhijah",Kata Benda,
besaran,BESARAN,Idul Adha,Kata Benda,
besmi,BESMI,bakar,Kata Kerja,
besus,BESUS,pandai; trampil,Kata Sifat,
besèt,BESET,sayat,Kata Sifat,
beta,BETA,bawa,Kata Kerja,Krama
betah,BETAH,butuh,Kata Kerja,
betah,BETAH,betah; enggan pergi,Kata Sifat,
bethèk,BETHEK,pintu pagar,Kata Benda,
beton,BETON,biji nangka,Kata Benda,
beya,BEYA,biaya,Kata Benda,
binarung,BINARUNG,seiring; diiringi,Kata Keadaan,
bindheng,BINDHENG,sengau,,
bingar,BINGAR,"ceria, cerah",Kata Sifat,
binggel,BINGGEL,gelang kaki,Kata Benda,
bingget,BINGGET,tanda dikulit akbiat jepitan atau lilitan yang ketat,Kata Benda,
bintul,BINTUL,bentol kecil kemerahan pada kulit,,
biyèn,BIYEN,dahulu,Kata Keadaan,
biyung,BIYUNG,ibu,Kata Keadaan,
blaka,BLAKA,berterus terang,Kata Kerja,
blakrak,BLAKRAK,bepergian tanpa ada manfaatnya (bahasa kasar),,
blalak-blalak,BLALAK-BLALAK,membeliak; besar (untuk mata),Kata Sifat,
blanak,BLANAK,jenis ikan,Kata Benda,
blandhong,BLANDHONG,penebang/pedagang kayu,,
blangkemen,BLANGKEMEN,tidak bisa bicara mendadak dan sesaat,,
blarak,BLARAK,daun kelapa kering,Kata Benda,
blasuk,BLASUK,keblasuk; tersesat,,
blatèr,BLATER,ramah; mudah bergaul,Kata Sifat,
bledhèg,BLEDHEG,"guntur, halilintar, petir",Kata Benda,
bledhèh,BLEDHEH,terbuka kancingnya (untuk baju),Kata Kerja,
blereng,BLERENG,tidak nampak jelas; kabur; rabun,Kata Sifat,
blesek,BLESEK,membenamkan ke dalam tumpukan,Kata Kerja,
blirik,BLIRIK,bergaris-garis; berbintik kecil (misal panci dan ayam),Kata Sifat,
bloloken,BLOLOKEN,silau,Kata Keadaan,
blondho,BLONDHO,endapan yang dihasilkan dalam pembuatan minyak kelapa,Kata Benda,
blorok,BLOROK,bintik-bintik pada bulu ayam; bulunya berbintik hitam putih (untuk ayam betina),Kata Sifat,
bludak,BLUDAK,tumpah,,
bluluk,BLULUK,buah kelapa yang masih sebesar telur; kelapa yang mulai tumbuh menjadi cengkir,Kata Benda,
blumbang,BLUMBANG,kolam,,
blusuk,BLUSUK,nyungsep,,
blusak-blusuk/blusukan,BLUSAK-BLUSUK/BLUSUKAN,keluar masuk kampung,,
blèdru,BLEDRU,salah pilih/tertukar karena mirip,Kata Keadaan,
bléncong,BLENCONG,"lampu minyak untuk penerangan dalam pagelaran wayang kulit; lampu obor dengan bahan bakar minyak goreng untuk penerangan pada pertunjukan wayang kulit, sebagai simbol matahari",Kata Benda,
bléndrang,BLENDRANG,sisa masakan bersantan yeng sudah dipanaskan berkali-kali,Kata Benda,
bobok,BOBOK,"kulit makanan gorengan, obat luar herbal tradisional",,
bocah,BOCAH,anak,Kata Benda,
bodho,BODHO,bodoh,Kata Sifat,
bodong,BODONG,pusar yang menonjol keluar; pusar yang panjangnya lebih dari normal,Kata Sifat,
boga,BOGA,pangan,Kata Benda,
bojo,BOJO,suami/istri,Kata Benda,
bokong,BOKONG,pantat,Kata Benda,
bokor,BOKOR,mangkuk besar,Kata Benda,
bolong,BOLONG,berlubang,Kata Sifat,
bolot,BOLOT,daki,Kata Benda,
mbolot,MBOLOT,membersihkan daki,,
bonang,BONANG,"alat musik pukul, bagian dari gamelan",Kata Benda,
bong,BONG,makam Tionghoa,Kata Benda,
bong,BONG,tukang khitan,Kata Benda,
